file_id,speaker,utt,kind,material,layer_idx,module_path,stage,abs_mean,rms,temp_std,delta_rms
boy7_box_001,boy7,001,ldv,box,15,encoder.model[10].shortcut,residual,1.7501338720321655,7.417747497558594,1.621170997619629,2.297485589981079
boy7_box_001,boy7,001,ldv,box,16,encoder.model[12],downsample,0.1647046059370041,0.3567085862159729,0.18548089265823364,0.37056174874305725
boy7_box_001,boy7,001,ldv,box,17,encoder.model[15],projection,0.1589168906211853,0.21150580048561096,0.1921868771314621,0.2715010344982147
girl9_box_001,girl9,001,ldv,box,0,encoder.model[0],stem,0.1750793159008026,0.35419249534606934,0.3067285120487213,0.0766928642988205
girl9_box_001,girl9,001,ldv,box,1,encoder.model[1].block[1],residual,0.6025096774101257,1.2941412925720215,1.006179928779602,0.3361279368400574
girl9_box_001,girl9,001,ldv,box,2,encoder.model[1].block[3],residual,0.997205376625061,1.733945608139038,1.6234447956085205,1.1008003950119019
girl9_box_001,girl9,001,ldv,box,3,encoder.model[1].shortcut,residual,0.5497621893882751,1.0795748233795166,0.9576231241226196,0.22106608748435974
girl9_box_001,girl9,001,ldv,box,4,encoder.model[3],downsample,3.54687237739563,6.797764301300049,5.823022365570068,5.423811912536621
girl9_box_001,girl9,001,ldv,box,5,encoder.model[4].block[1],residual,9.823491096496582,17.515012741088867,15.730384826660156,16.398622512817383
girl9_box_001,girl9,001,ldv,box,6,encoder.model[4].block[3],residual,12.529260635375977,22.3081111907959,21.190807342529297,25.91268539428711
girl9_box_001,girl9,001,ldv,box,7,encoder.model[4].shortcut,residual,3.035381317138672,5.967355728149414,5.0584330558776855,7.359769344329834
girl9_box_001,girl9,001,ldv,box,8,encoder.model[6],downsample,21.237863540649414,40.970096588134766,36.69932174682617,61.65206527709961
girl9_box_001,girl9,001,ldv,box,9,encoder.model[7].block[1],residual,28.25788688659668,57.09718704223633,50.39481735229492,86.2373275756836
girl9_box_001,girl9,001,ldv,box,10,encoder.model[7].block[3],residual,12.145896911621094,28.782886505126953,20.602367401123047,39.15850067138672
girl9_box_001,girl9,001,ldv,box,11,encoder.model[7].shortcut,residual,6.839422225952148,15.888646125793457,11.690494537353516,22.495943069458008
girl9_box_001,girl9,001,ldv,box,12,encoder.model[9],downsample,8.95246696472168,19.442413330078125,12.755814552307129,19.81454849243164
girl9_box_001,girl9,001,ldv,box,13,encoder.model[10].block[1],residual,6.208373546600342,14.278888702392578,8.110814094543457,11.992064476013184
girl9_box_001,girl9,001,ldv,box,14,encoder.model[10].block[3],residual,1.1811654567718506,2.6926581859588623,1.5137853622436523,3.300063371658325
girl9_box_001,girl9,001,ldv,box,15,encoder.model[10].shortcut,residual,3.2923359870910645,14.62392807006836,3.2820065021514893,2.884704113006592
girl9_box_001,girl9,001,ldv,box,16,encoder.model[12],downsample,0.21277019381523132,0.4514857828617096,0.25333401560783386,0.39230093359947205
girl9_box_001,girl9,001,ldv,box,17,encoder.model[15],projection,0.21802732348442078,0.274809330701828,0.2548779547214508,0.30571064352989197
boy4_clean_002,boy4,002,clean,clean,0,encoder.model[0],stem,0.21913738548755646,0.42784032225608826,0.3668966591358185,0.08010824024677277
boy4_clean_002,boy4,002,clean,clean,1,encoder.model[1].block[1],residual,0.7273637652397156,1.5185399055480957,1.1494249105453491,0.3026951551437378
boy4_clean_002,boy4,002,clean,clean,2,encoder.model[1].block[3],residual,1.0899912118911743,1.9083940982818604,1.6976383924484253,0.7897480726242065
boy4_clean_002,boy4,002,clean,clean,3,encoder.model[1].shortcut,residual,0.6954877972602844,1.3052754402160645,1.154534101486206,0.23708537220954895
boy4_clean_002,boy4,002,clean,clean,4,encoder.model[3],downsample,3.8618664741516113,7.663440227508545,6.1184539794921875,4.383488655090332
boy4_clean_002,boy4,002,clean,clean,5,encoder.model[4].block[1],residual,10.451800346374512,19.213150024414062,16.203659057617188,13.885960578918457
boy4_clean_002,boy4,002,clean,clean,6,encoder.model[4].block[3],residual,12.295738220214844,23.075084686279297,21.428855895996094,23.9215145111084
boy4_clean_002,boy4,002,clean,clean,7,encoder.model[4].shortcut,residual,2.888392686843872,6.058315277099609,4.893014907836914,5.857502460479736
boy4_clean_002,boy4,002,clean,clean,8,encoder.model[6],downsample,20.942163467407227,41.91339111328125,37.34353256225586,57.35533142089844
